protein,protein frequency
A0A024R6X1_CES2    ,0                  
A0A075B6L0_IGLC3   ,265                
A0A087WVW2_IGHG3   ,0                  
P06331             ,0                  
A0A075B6R9         ,0                  
P06310             ,0                  
A0A087WSX4         ,7                  
A0A087WT59_TTR     ,0                  
P19823_ITIH2       ,334                
A0A087WZM5_FKBP1A  ,0                  
O75626_PRDM1       ,44                 
A0A087WX49_IGLL5   ,174                
A0A0A0MS15         ,0                  
A0A087WV47_IGHG1   ,0                  
A0A087WVN6         ,0                  
A0A087WW89         ,368                
P06753_2_TPM3      ,0                  
Q9Y6R7_FCGBP       ,0                  
Q96KP4_CNDP2       ,0                  
A0A087WZH9         ,382                
A0A087WZM2_RNASET2 ,0                  
A0A087WZW8         ,359                
A0A087X130         ,2                  
A0A075B6P5         ,281                
A0A087X2C0         ,4150               
Q06830_PRDX1       ,0                  
P13797_PLS3        ,4                  
A8K2U0_A2ML1       ,0                  
P08670_VIM         ,0                  
P15153_RAC2        ,0                  
P09429_HMGB1       ,12                 
B4E1Z4_CFB         ,0                  
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,0                  
B7ZKJ8_ITIH4       ,0                  
P40925_3_MDH1      ,0                  
C9JC84_FGG         ,12                 
P19971_2_TYMP      ,0                  
Q9UG63_2_ABCF2     ,0                  
P30838_ALDH3A1     ,324                
C9JV77_AHSG        ,0                  
CON__P00761        ,258                
CON__P01966        ,16                 
CON__P02538_KRT6A  ,0                  
CON__P02768_1_ALB  ,0                  
CON__P02769_ALB    ,0                  
CON__P08779_KRT16  ,0                  
CON__P13645_KRT10  ,0                  
CON__P13646_1      ,0                  
CON__P13647_KRT5   ,0                  
CON__P19013        ,1                  
CON__P35527_KRT9   ,0                  
CON__P60712_ACTB   ,0                  
CON__Q3MHH8        ,1                  
D6RF35_GC          ,0                  
E5RHG6_TBCA        ,0                  
E7EQR4_EZR         ,24                 
P02788_LTF         ,0                  
E7EX29_YWHAZ       ,315                
P11413_2_G6PD      ,0                  
Q9H0U4_RAB1B       ,0                  
P55786_NPEPPS      ,0                  
O00764_PDXK        ,1                  
P0C0L5_C4B         ,0                  
P22079_LPO         ,0                  
F5H5D3_TUBA1C      ,0                  
Q14697_2_GANAB     ,0                  
P30040_ERP29       ,0                  
P09382_LGALS1      ,0                  
